SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
AERO-214,3,11,4,0,0,18,2.944,0,0,0,0,0,18,NARAGHI M
AERO-214,8,7,3,1,0,19,3.157,0,0,0,0,0,19,NARAGHI M
AERO-214,9,3,5,1,0,18,3.111,0,0,0,1,0,19,NARAGHI M
AERO-214,6,5,4,2,0,17,2.882,0,0,0,0,0,17,NARAGHI M
AERO-214,3,10,4,0,0,17,2.941,0,0,0,5,0,22,LE GRAVEREND J
AERO-214,2,11,8,0,1,22,2.59,0,0,0,0,0,22,LE GRAVEREND J
AERO-214,6,8,3,1,0,18,3.055,0,0,0,4,0,22,LE GRAVEREND J
AERO-214,6,10,3,1,0,20,3.05,0,0,0,2,0,22,LE GRAVEREND J
AERO-222,4,10,5,6,1,26,2.384,0,0,0,3,0,29,WHITCOMB J
AERO-222,14,5,10,1,2,32,2.875,0,0,0,1,0,33,WHITCOMB J
AERO-222,11,11,5,4,1,32,2.843,0,0,0,2,0,34,WHITCOMB J
AERO-222,18,10,2,1,0,31,3.451,0,0,0,3,0,34,MORTARI D
AERO-222,21,9,2,0,0,32,3.593,0,0,0,1,0,33,MORTARI D
AERO-222,18,11,3,0,1,33,3.363,0,0,0,0,0,33,MORTARI D
AERO-301,10,5,1,0,0,16,3.562,0,0,0,0,0,16,TROPINA A
AERO-301,33,26,18,4,1,82,3.048,0,0,0,0,0,82,TROPINA A
AERO-301,29,33,24,6,1,93,2.892,0,0,0,1,0,94,PECK M
AERO-301,8,8,4,0,0,20,3.2,0,0,0,0,0,20,DONZIS D
AERO-303,3,3,2,0,0,8,3.125,0,0,0,0,0,8,GROOT K
AERO-303,16,38,15,4,3,76,2.789,0,0,0,0,0,76,GROOT K
AERO-303,13,21,12,4,5,55,2.6,0,0,0,0,0,55,GROOT K
AERO-304,2,3,0,0,0,5,3.4,0,0,0,0,0,5,TALREJA R
AERO-304,14,24,15,0,4,57,2.771,0,0,0,2,0,59,TALREJA R
AERO-306,86,1,2,0,0,89,3.943,0,0,0,0,0,89,STROUBOULIS T
AERO-306,10,15,15,4,2,46,2.586,1,0,0,9,0,56,WHITCOMB J
AERO-307,12,2,0,0,0,14,3.857,0,1,0,1,0,16,GUZMAN F
AERO-307,9,6,2,0,0,17,3.411,0,0,0,0,0,17,GUZMAN F
AERO-307,18,1,0,0,0,19,3.947,0,0,0,2,0,21,GUZMAN F
AERO-307,15,4,2,0,0,21,3.619,0,0,0,0,0,21,GUZMAN F
AERO-307,6,1,2,0,0,9,3.444,0,0,0,0,0,9,GUZMAN F
AERO-307,15,0,1,0,0,16,3.875,2,0,0,0,0,18,GUZMAN F
AERO-310,14,17,8,4,3,46,2.76,2,0,0,7,0,55,CHAKRAVORTY S
AERO-321,1,4,2,0,1,8,2.5,0,0,0,0,0,8,VADALI S
AERO-321,8,23,31,10,1,73,2.369,0,0,0,7,1,81,VADALI S
AERO-321,19,30,24,5,0,78,2.807,0,0,0,10,0,88,VADALI S
AERO-351,9,25,37,5,0,76,2.5,1,0,0,23,0,100,CIZMAS P
AERO-401,40,2,0,0,0,42,3.952,0,0,0,0,0,42,SELVA VALERO D
AERO-402,9,0,0,0,0,9,4,0,0,0,0,0,9,HARTL D
AERO-402,14,0,0,0,0,14,4,0,0,0,0,0,14,SELVA VALERO D
AERO-402,19,0,0,0,0,19,4,0,0,0,0,0,19,MOBLE B
AERO-402,28,0,0,0,0,28,4,0,0,0,0,0,28,GRINSTEAD J
AERO-402,16,0,0,0,0,16,4,0,0,0,0,0,16,WHITTLE R
AERO-402,33,1,0,0,0,34,3.97,0,0,0,0,0,34,VALASEK J
AERO-402,6,0,0,0,0,6,4,0,0,0,0,0,6,SHRYOCK K
AERO-405,19,20,1,0,0,40,3.45,0,0,0,1,0,41,HARTL D
AERO-413,18,34,23,4,0,79,2.835,0,0,0,2,0,81,NARAGHI M
AERO-413,13,11,11,0,0,35,3.057,1,0,0,0,0,36,HERRINGTON J
AERO-415,13,6,1,0,1,21,3.428,0,0,0,6,0,27,CIZMAS P
AERO-422,30,40,23,3,1,97,2.979,0,0,0,1,0,98,DEMARS K
AERO-423,31,30,19,5,0,85,3.023,0,0,0,8,0,93,MORTARI D
AERO-430,46,12,10,1,0,69,3.492,0,0,0,1,0,70,STROUBOULIS T
AERO-451,45,17,3,0,0,65,3.646,0,0,0,0,0,65,CHAMITOFF G
AERO-452,35,37,20,5,1,98,3.02,0,0,0,0,0,98,DONZIS D
AERO-489,22,2,0,0,0,24,3.916,0,0,0,0,0,24,DUNBAR B
AERO-489,12,10,1,0,0,23,3.478,0,0,0,0,0,23,CURRIE-GREGG N
AERO-489,10,9,2,0,0,21,3.38,0,0,0,1,0,22,TROPINA A
AERO-489,9,0,0,0,0,9,4,0,0,0,0,0,9,GUZMAN F
AERO-602,8,12,1,0,0,21,3.333,0,0,0,1,0,22,KARPETIS A
AERO-604,8,8,3,1,0,20,3.15,0,0,0,0,0,20,HARTL D
AERO-607,30,0,0,0,0,30,4,0,0,0,0,0,30,DUNBAR B
AERO-607,14,0,0,0,0,14,4,0,0,0,0,0,14,DUNBAR B
AERO-615,7,1,0,0,0,8,3.875,0,0,0,0,0,8,CIZMAS P
AERO-618,5,4,0,0,0,9,3.555,0,0,0,0,0,9,BOYD J
AERO-623,7,5,9,0,0,21,2.904,1,0,0,2,0,24,VADALI S
AERO-626,24,5,0,0,1,30,3.7,1,0,0,2,0,33,DEMARS K
AERO-632,25,0,0,0,0,25,4,0,0,0,1,0,26,BHATTACHARYA R
AERO-633,8,0,0,0,0,8,4,0,0,0,0,0,8,MAJJI M
AERO-645,9,3,0,0,0,12,3.75,1,0,0,0,0,13,BENZERGA A
AERO-651,23,8,1,0,0,32,3.687,0,0,0,0,0,32,CHAMITOFF G
AERO-661,15,1,1,0,0,17,3.823,0,0,0,0,0,17,GUZMAN F
AERO-689,5,5,0,1,0,11,3.272,0,0,0,0,0,11,CURRIE-GREGG N
AERO-689,17,3,2,0,0,22,3.681,0,0,0,0,0,22,ALFRIEND K
AERO-689,12,1,0,0,0,13,3.923,0,0,0,0,0,13,JACKSON S
AERO-689,8,2,2,0,0,12,3.5,0,0,0,2,0,14,TROPINA A
AERO-689,3,4,0,0,0,7,3.428,0,0,0,0,0,7,CURRIE-GREGG N
MEMA-646,13,0,0,0,0,13,4,0,0,0,0,0,13,STROUBOULIS T
BMEN-153,27,6,1,1,0,35,3.685,1,0,0,0,0,36,CARRELL T
BMEN-207,11,10,4,3,1,29,2.931,0,0,0,0,0,29,REYNOLDS J
BMEN-211,23,11,1,0,0,35,3.628,0,0,0,3,0,38,HORN S
BMEN-211,9,10,5,1,0,25,3.08,0,0,0,13,0,38,CARRELL T
BMEN-211,19,15,5,2,0,41,3.243,0,0,0,24,0,65,HORN S
BMEN-211,4,1,1,0,0,6,3.5,0,0,0,0,0,6,TER HOFSTEDE B
BMEN-253,60,12,2,0,0,74,3.783,0,0,0,1,0,75,MONTGOMERY W
BMEN-253,30,25,1,1,1,58,3.413,0,0,0,0,0,58,SOUTHARD F
BMEN-253,5,0,0,0,0,5,4,0,0,0,0,0,5,TER HOFSTEDE B
BMEN-322,4,16,2,1,0,23,3,0,0,0,0,0,23,TOFIGHI ZAVAREH A
BMEN-341,7,0,0,1,0,8,3.625,0,0,0,1,0,9,HORN J
BMEN-341,21,14,13,0,2,50,3.04,0,0,0,1,0,51,HORN J
BMEN-341,14,7,2,1,1,25,3.28,0,0,0,2,0,27,GEORGE J
BMEN-344,5,3,0,0,0,8,3.625,0,0,0,0,0,8,ZHAO F
BMEN-344,18,15,5,0,1,39,3.256,0,0,0,2,0,41,ZHAO F
BMEN-344,15,12,7,3,0,37,3.054,0,0,0,0,0,37,ZHAO F
BMEN-344,60,15,3,0,0,78,3.73,1,0,0,0,0,79,CLEVENGER A
BMEN-345,12,5,0,0,0,17,3.705,0,0,0,0,0,17,PEAK C
BMEN-345,16,4,1,0,0,21,3.714,0,0,0,0,0,21,PEAK C
BMEN-345,15,4,1,0,0,20,3.7,0,0,0,0,0,20,PEAK C
BMEN-345,13,6,1,0,0,20,3.6,0,0,0,0,0,20,PEAK C
BMEN-345,7,7,4,0,0,18,3.166,0,0,0,0,0,18,PEAK C
BMEN-345,11,5,1,0,0,17,3.588,1,0,0,1,0,19,PEAK C
BMEN-345,16,2,1,0,1,20,3.6,0,0,0,0,0,20,PEAK C
BMEN-345,14,4,0,0,0,18,3.777,0,0,0,1,0,19,PEAK C
BMEN-350,15,4,1,0,2,22,3.363,0,0,0,1,0,23,GRAUL M
BMEN-350,4,4,0,0,0,8,3.5,0,0,0,0,0,8,GRAUL M
BMEN-353,67,11,0,0,0,78,3.858,0,0,0,0,0,78,BUJNOCH Z
BMEN-353,69,9,0,1,0,79,3.848,0,0,0,0,0,79,BUJNOCH Z
BMEN-361,49,3,1,0,0,53,3.905,0,0,0,0,0,53,GINN-HEDMAN A
BMEN-361,10,0,0,0,0,10,4,0,0,0,0,0,10,GINN-HEDMAN A
BMEN-400,6,0,0,0,0,6,4,0,0,0,0,0,6,WASSER J
BMEN-401,5,8,4,2,1,20,2.7,0,0,0,2,0,22,COTE G
BMEN-404,17,0,0,0,0,17,4,0,0,0,0,0,17,REYNOLDS J
BMEN-420,23,3,1,0,0,27,3.814,0,0,0,2,0,29,MCDOUGALL M
BMEN-420,10,5,2,1,1,19,3.157,0,0,0,17,0,36,YAKOVLEV V
BMEN-420,17,25,16,0,0,58,3.017,1,0,0,8,0,67,CARRELL T
BMEN-428,6,1,0,0,0,7,3.857,0,0,0,0,0,7,JAFARI R
BMEN-431,6,0,0,0,0,6,4,0,0,0,0,0,6,PATRICK C
BMEN-431,32,4,3,0,0,39,3.743,0,0,0,1,0,40,PATRICK C
BMEN-433,28,2,0,0,0,30,3.933,0,0,0,0,0,30,MURALI A
BMEN-433,20,0,0,0,0,20,4,0,0,0,0,0,20,MURALI A
BMEN-450,61,1,0,0,0,62,3.983,0,0,0,0,0,62,BISWAS S
BMEN-450,62,0,0,0,0,62,4,0,0,0,0,0,62,BISWAS S
BMEN-452,18,1,1,3,2,25,3.2,0,0,0,0,0,25,PATRICK C
BMEN-454,74,7,2,1,0,84,3.833,0,0,0,0,0,84,PEAK C
BMEN-454,62,7,3,0,0,72,3.819,0,0,0,0,0,72,PEAK C
BMEN-458,10,5,0,1,0,16,3.5,0,0,0,0,0,16,AMBROSE C
BMEN-461,8,2,2,0,0,12,3.5,0,0,0,0,0,12,GRAUL M
BMEN-463,15,2,0,0,0,17,3.882,0,0,0,0,0,17,AVAZMOHAMMADI R
BMEN-469,16,7,0,0,1,24,3.541,0,0,0,0,0,24,BUJNOCH Z
BMEN-471,5,2,3,0,0,10,3.2,0,0,0,0,0,10,KAUNAS R
BMEN-480,19,29,6,0,0,54,3.24,0,0,0,0,0,54,ADJEI I
BMEN-486,13,3,0,0,0,16,3.812,0,0,0,0,0,16,TIAN L
BMEN-487,19,16,2,0,0,37,3.459,0,0,0,1,0,38,GAHARWAR A
BMEN-489,7,2,0,0,0,9,3.777,0,0,0,0,0,9,HORN J
BMEN-489,1,3,1,2,0,7,2.428,0,0,0,1,0,8,HANKS J
BMEN-489,8,0,0,0,0,8,4,0,0,0,0,0,8,CRISCIONE J
BMEN-491,5,0,0,0,0,5,4,0,0,0,0,0,5,RAGHAVAN S
BMEN-491,6,0,0,0,0,6,4,0,1,0,1,0,8,ALGE D
BMEN-604,29,0,0,0,0,29,4,0,0,0,0,0,29,REYNOLDS J
BMEN-608,6,0,0,0,0,6,4,0,0,0,0,0,6,WALSH A
BMEN-628,8,0,0,0,0,8,4,0,0,0,0,0,8,JAFARI R
BMEN-631,7,3,0,0,0,10,3.7,0,0,0,0,0,10,PATRICK C
BMEN-636,37,1,0,0,0,38,3.973,0,0,0,0,0,38,HORN S
BMEN-658,6,4,0,0,0,10,3.6,0,0,0,0,0,10,AMBROSE C
BMEN-663,8,1,0,0,0,9,3.888,0,0,0,0,0,9,AVAZMOHAMMADI R
BMEN-669,28,1,0,0,0,29,3.965,0,0,0,0,0,29,CRISCIONE J
BMEN-674,12,11,0,0,0,23,3.521,0,0,0,0,0,23,ZHAO F
BMEN-680,9,3,0,0,0,12,3.75,0,0,0,0,0,12,ADJEI I
BMEN-685,24,0,0,0,0,24,4,0,0,0,0,0,24,MAITLAND D
BMEN-687,7,2,0,0,0,9,3.777,0,0,0,0,0,9,GAHARWAR A
BMEN-689,6,0,0,0,0,6,4,0,0,0,0,0,6,JAIN A
BMEN-689,18,0,0,0,0,18,4,0,0,0,0,0,18,HANKS J
BMEN-689,13,0,0,0,0,13,4,0,0,0,0,0,13,CRISCIONE J
BMEN-689,9,0,0,0,0,9,4,0,0,0,0,0,9,HWANG W
BIOT-645,13,1,0,0,0,14,3.928,0,0,0,0,0,14,YOUNG C
CHEN-204,4,1,1,0,0,6,3.5,0,0,0,1,0,7,AYDOGMUS T
CHEN-204,17,17,6,1,2,43,3.069,0,0,0,5,0,48,AYDOGMUS T
CHEN-205,4,6,0,0,0,10,3.4,0,0,0,0,0,10,REEVES G
CHEN-205,4,3,1,0,0,8,3.375,0,0,0,1,0,9,LUTKENHAUS J
CHEN-205,11,27,11,4,0,53,2.849,0,0,0,3,0,56,REEVES G
CHEN-205,10,10,6,2,0,28,3,0,0,0,4,0,32,TAMAMIS P
CHEN-205,6,26,14,3,1,50,2.66,0,0,0,3,0,53,LUTKENHAUS J
CHEN-304,4,1,0,0,0,5,3.8,0,0,0,0,0,5,AKBULUT M
CHEN-304,12,27,10,0,0,49,3.04,0,0,0,0,0,49,AKBULUT M
CHEN-320,11,27,4,1,0,43,3.116,0,0,0,0,0,43,WU H
CHEN-322,17,17,7,2,1,44,3.068,0,0,0,0,0,44,SEMINARIO J
CHEN-323,9,0,0,0,0,9,4,0,0,0,0,0,9,ZHU X
CHEN-323,1,4,0,0,0,5,3.2,0,0,0,0,0,5,HASAN M
CHEN-323,13,15,5,0,0,33,3.242,0,0,0,0,0,33,LELE P
CHEN-323,27,25,6,2,0,60,3.283,0,0,0,0,0,60,ZHU X
CHEN-323,22,31,8,0,0,61,3.229,0,0,0,0,0,61,HASAN M
CHEN-324,4,1,0,0,0,5,3.8,0,0,0,0,0,5,WILHITE B
CHEN-324,30,21,9,0,0,60,3.35,0,0,0,0,0,60,SHETTY M
CHEN-324,10,14,8,4,0,36,2.833,0,0,0,0,0,36,HOLTZAPPLE M
CHEN-324,26,18,12,4,0,60,3.1,0,0,0,0,0,60,WILHITE B
CHEN-354,15,6,16,7,0,44,2.659,0,0,0,2,0,46,BALBUENA P
CHEN-364,3,6,0,0,0,9,3.333,0,0,0,0,0,9,GREEN M
CHEN-364,9,12,12,4,3,40,2.5,0,0,0,12,0,52,JEONG H
CHEN-364,32,48,10,0,0,90,3.244,0,0,0,0,0,90,GREEN M
CHEN-425,21,26,11,0,0,58,3.172,0,0,0,0,0,58,EL-HALWAGI M
CHEN-426,91,8,0,0,0,99,3.919,0,0,0,0,0,99,BLIZZARD G
CHEN-426,57,0,0,0,0,57,4,0,0,0,0,0,57,MASHUGA C
CHEN-432,19,3,0,0,0,22,3.863,0,0,0,0,0,22,ALAM M
CHEN-432,20,0,0,0,0,20,4,0,0,0,0,0,20,ALAM M
CHEN-432,19,1,0,0,0,20,3.95,0,0,0,0,0,20,ALAM M
CHEN-433,17,5,0,0,0,22,3.772,0,0,0,0,0,22,PEHLIVAN H
CHEN-433,17,7,0,0,0,24,3.708,0,0,0,0,0,24,BLIZZARD G
CHEN-433,18,4,0,0,0,22,3.818,0,0,0,0,0,22,PEHLIVAN H
CHEN-433,22,0,0,0,0,22,4,0,0,0,0,0,22,WYGLE R
CHEN-433,21,0,0,0,0,21,4,0,0,0,0,0,21,WYGLE R
CHEN-433,12,9,0,0,0,21,3.571,0,0,0,0,0,21,PEHLIVAN H
CHEN-433,24,0,0,0,0,24,4,0,0,0,0,0,24,WYGLE R
CHEN-451,36,32,3,0,0,71,3.464,0,0,0,0,0,71,SENTMANAT M
CHEN-455,3,2,0,0,0,5,3.6,0,0,0,0,0,5,WANG Q
CHEN-455,35,35,17,0,0,87,3.206,0,0,0,0,0,87,WANG Q
CHEN-455,33,7,1,0,0,41,3.78,0,0,0,0,0,41,AYDOGMUS T
CHEN-460,8,16,3,0,0,27,3.185,0,0,0,0,0,27,RAHMANI N
CHEN-460,6,5,4,0,0,15,3.133,0,0,0,0,0,15,RAHMANI N
CHEN-461,16,11,16,2,0,45,2.911,0,0,0,2,0,47,KRAVARIS C
CHEN-461,5,14,4,1,0,24,2.958,0,0,0,0,0,24,KWON J
CHEN-475,10,10,6,0,1,27,3.037,0,0,0,3,0,30,KUO Y
CHEN-481,20,0,1,0,0,21,3.904,0,0,0,0,0,21,BLIZZARD G
CHEN-481,20,1,0,0,0,21,3.952,0,0,0,0,0,21,BLIZZARD G
CHEN-481,16,3,0,0,0,19,3.842,0,0,0,0,0,19,RODDEN J
CHEN-481,8,0,0,0,0,8,4,0,0,0,0,0,8,RODDEN J
CHEN-482,22,28,6,0,0,56,3.285,0,0,0,0,0,56,SUN Q
CHEN-482,17,17,10,0,0,44,3.159,0,0,0,0,0,44,HILALY A
CHEN-489,18,2,0,0,0,20,3.9,0,0,0,0,0,20,RODDEN J
CHEN-624,34,17,2,0,0,53,3.603,0,0,0,0,0,53,TSEREGOUNIS S
CHEN-629,37,16,1,0,0,54,3.666,0,0,0,1,0,55,GAGNON Z
CHEN-641,16,0,0,0,0,16,4,0,0,0,1,0,17,SENTMANAT M
CHEN-655,4,2,0,0,0,6,3.666,0,0,0,0,0,6,WANG Q
CHEN-656,7,3,0,0,0,10,3.7,0,0,0,0,0,10,PISTIKOPOULOS E
CHEN-660,8,3,1,0,0,12,3.583,0,0,0,0,0,12,RAHMANI N
CHEN-675,5,3,2,0,0,10,3.3,0,0,0,0,0,10,KUO Y
CHEN-689,7,4,0,0,0,11,3.636,0,0,0,0,0,11,MITTAL J
CHEN-689,5,2,0,0,0,7,3.714,0,0,0,1,0,8,RODDEN J
SENG-312,29,35,3,0,0,67,3.388,0,0,0,3,0,70,RAHMANI N
SENG-312,1,3,1,0,0,5,3,0,0,0,0,0,5,RAHMANI N
SENG-455,3,3,0,0,0,6,3.5,0,0,0,0,0,6,AYDOGMUS T
SENG-455,8,2,1,0,0,11,3.636,0,0,0,0,0,11,AYDOGMUS T
SENG-460,1,10,4,0,0,15,2.8,0,0,0,2,0,17,RAHMANI N
SENG-660,6,3,0,0,0,9,3.666,0,0,0,1,0,10,RAHMANI N
SENG-660,2,1,2,0,0,5,3,0,0,0,1,0,6,RAHMANI N
SENG-674,8,1,0,0,0,9,3.888,0,0,0,0,0,9,RAHMANI N
SENG-677,6,4,0,0,0,10,3.6,0,0,0,0,0,10,KHAN F
CVEN-207,18,2,0,0,0,20,3.9,0,0,0,0,0,20,APPLETON R
CVEN-207,18,0,0,0,0,18,4,0,0,0,0,0,18,APPLETON R
CVEN-207,19,1,0,0,0,20,3.95,0,0,0,0,0,20,APPLETON R
CVEN-207,16,3,0,0,0,19,3.842,0,0,0,0,0,19,APPLETON R
CVEN-221,32,20,6,2,1,61,3.311,0,0,0,2,0,63,QUINTERO FEBRES C
CVEN-221,14,30,12,1,1,58,2.948,0,0,0,0,0,58,PAK H
CVEN-250,21,6,1,0,0,28,3.714,0,0,0,0,0,28,HUTCHINSON R
CVEN-250,23,4,0,0,0,27,3.851,0,0,0,0,0,27,HUTCHINSON R
CVEN-250,26,3,0,2,0,31,3.709,0,0,0,0,0,31,LYLE S
CVEN-250,22,9,0,0,1,32,3.593,0,0,0,0,0,32,HUTCHINSON R
CVEN-301,13,25,10,0,0,48,3.062,0,0,0,0,0,48,LONDON M
CVEN-301,2,14,15,0,0,31,2.58,0,0,0,2,0,33,LONDON M
CVEN-302,23,22,14,5,1,65,2.938,0,0,0,3,0,68,LEE C
CVEN-302,25,32,9,1,0,67,3.208,0,0,0,3,0,70,QUADRIFOGLIO L
CVEN-302,22,28,16,1,0,67,3.059,0,0,0,1,0,68,GHARAIBEH N
CVEN-303,4,11,2,0,0,17,3.117,0,0,0,0,0,17,GHARAIBEH N
CVEN-303,3,8,4,0,0,15,2.933,0,0,0,1,0,16,GHARAIBEH N
CVEN-303,1,12,4,1,0,18,2.722,0,0,0,0,0,18,GHARAIBEH N
CVEN-303,5,9,4,0,0,18,3.055,0,0,0,0,0,18,GHARAIBEH N
CVEN-303,18,0,0,0,0,18,4,0,0,0,0,0,18,LYLE S
CVEN-303,17,0,1,0,0,18,3.888,0,0,0,0,0,18,LYLE S
CVEN-303,12,5,0,0,0,17,3.705,0,0,0,0,0,17,LYLE S
CVEN-303,17,2,0,0,0,19,3.894,0,0,0,0,0,19,LYLE S
CVEN-305,8,55,9,1,0,73,2.958,0,0,0,2,0,75,MERCIER R
CVEN-305,28,40,10,1,0,79,3.202,0,0,0,0,0,79,KIM Y
CVEN-305,40,23,9,1,0,73,3.397,1,0,0,4,0,78,CHENG C
CVEN-305,22,20,8,1,0,51,3.235,0,0,0,4,0,55,ROCKEY A
CVEN-306,12,19,6,0,0,37,3.162,0,0,0,0,0,37,LITTLE D
CVEN-306,14,27,8,2,0,51,3.039,0,0,0,0,0,51,BULLARD J
CVEN-307,21,23,7,0,0,51,3.274,0,0,0,0,0,51,WANG X
CVEN-307,18,31,1,0,0,50,3.34,0,0,0,0,0,50,ZHOU Y
CVEN-311,17,33,9,0,0,59,3.135,0,0,0,1,0,60,SOCOLOFSKY S
CVEN-311,10,20,9,1,0,40,2.975,0,0,0,1,0,41,SOCOLOFSKY S
CVEN-311,20,29,9,0,0,58,3.189,0,0,0,0,0,58,KAIHATU J
CVEN-314,13,12,3,0,1,29,3.241,0,0,0,0,0,29,HURLEBAUS S
CVEN-322,20,27,8,1,0,56,3.178,0,0,0,2,0,58,LEE D
CVEN-322,15,28,11,1,0,55,3.036,0,0,0,2,0,57,LEE D
CVEN-339,19,28,6,0,1,54,3.185,0,0,0,1,0,55,PAEZ D
CVEN-339,19,19,12,0,2,52,3.019,0,0,0,0,0,52,PAEZ D
CVEN-342,10,13,4,0,0,27,3.222,0,0,0,0,0,27,KIM Y
CVEN-342,5,16,8,0,0,29,2.896,1,0,0,0,0,30,KIM Y
CVEN-342,6,16,3,0,0,25,3.12,0,0,0,0,0,25,KIM Y
CVEN-342,10,12,2,0,0,24,3.333,0,0,0,0,0,24,MARTIN A
CVEN-342,11,10,4,0,0,25,3.28,0,0,0,0,0,25,MARTIN A
CVEN-342,3,18,4,0,0,25,2.96,0,0,0,0,0,25,MARTIN A
CVEN-345,25,19,11,1,1,57,3.157,0,0,0,3,0,60,ROCKEY A
CVEN-345,16,18,16,1,0,51,2.96,0,0,0,9,0,60,ROCKEY A
CVEN-349,36,24,1,0,0,61,3.573,0,0,0,0,0,61,WALEWSKI J
CVEN-349,12,24,10,3,4,53,2.698,0,0,0,1,0,54,CLARK L
CVEN-349,12,0,0,0,0,12,4,0,0,0,0,0,12,WALEWSKI J
CVEN-363,19,24,18,2,1,64,2.906,0,0,0,1,0,65,KOLIOU M
CVEN-363,14,37,8,0,0,59,3.101,0,0,0,0,0,59,PAAL S
CVEN-365,8,4,3,0,0,15,3.333,0,0,0,1,0,16,MEDINA CETINA Z
CVEN-365,9,8,2,0,0,19,3.368,0,0,0,0,0,19,MEDINA CETINA Z
CVEN-365,13,7,0,0,0,20,3.65,0,0,0,0,0,20,MEDINA CETINA Z
CVEN-365,13,7,1,0,0,21,3.571,0,0,0,0,0,21,BRIAUD J
CVEN-365,7,12,2,0,0,21,3.238,0,0,0,0,0,21,BRIAUD J
CVEN-365,11,7,1,1,0,20,3.4,0,0,0,0,0,20,BRIAUD J
CVEN-400,32,7,0,0,0,39,3.82,0,0,0,0,0,39,ROGERS A
CVEN-400,37,0,0,0,0,37,4,0,0,0,0,0,37,ROGERS A
CVEN-400,27,14,0,0,0,41,3.658,0,0,0,0,0,41,GURGANUS C
CVEN-406,7,5,1,0,0,13,3.461,0,0,0,0,0,13,CHU K
CVEN-413,6,5,2,0,0,13,3.307,0,0,0,0,0,13,YING Q
CVEN-418,5,6,4,0,0,15,3.066,1,0,0,1,0,17,ZOLLINGER D
CVEN-423,9,5,2,0,0,16,3.437,0,0,0,1,0,17,OLIVERA F
CVEN-423,22,2,0,0,0,24,3.916,0,0,0,0,0,24,OLIVERA F
CVEN-424,17,1,0,0,0,18,3.944,0,0,0,0,0,18,SCARFUTO J
CVEN-424,15,4,1,0,0,20,3.7,0,0,0,0,0,20,SCARFUTO J
CVEN-424,18,3,0,0,0,21,3.857,0,0,0,0,0,21,ENGLAND P
CVEN-424,18,1,0,0,0,19,3.947,0,0,0,0,0,19,ENGLAND P
CVEN-435,2,2,0,0,1,5,2.8,0,0,0,1,0,6,BRIAUD J
CVEN-444,7,22,12,0,1,42,2.809,0,0,0,0,0,42,BIRELY A
CVEN-444,18,17,13,0,2,50,2.98,0,0,0,1,0,51,HUESTE M
CVEN-444,15,20,8,1,1,45,3.044,0,0,0,1,0,46,QUINTERO FEBRES C
CVEN-445,4,7,8,0,1,20,2.65,0,0,0,1,0,21,BARROSO L
CVEN-446,13,23,14,3,0,53,2.867,0,0,0,5,0,58,KEATING P
CVEN-446,18,26,4,0,1,49,3.224,0,0,0,0,0,49,LOWERY L
CVEN-446,39,7,6,0,1,53,3.566,0,0,0,2,0,55,SKILLEN K
CVEN-451,21,4,0,0,0,25,3.84,0,0,0,0,0,25,APPLETON R
CVEN-456,12,3,0,0,0,15,3.8,0,0,0,0,0,15,LORD D
CVEN-458,26,0,0,0,0,26,4,0,0,0,0,0,26,TORRES J
CVEN-463,28,0,0,0,1,29,3.862,0,0,0,0,0,29,CAHILL A
CVEN-473,5,7,2,0,0,14,3.214,0,0,0,1,0,15,LEVERIDGE A
CVEN-473,6,10,0,0,0,16,3.375,0,0,0,0,0,16,CLARK L
CVEN-483,18,0,0,0,0,18,4,0,0,0,0,0,18,BRACCI J
CVEN-602,15,4,0,0,0,19,3.789,0,0,0,0,0,19,GAO H
CVEN-604,9,4,0,0,0,13,3.692,0,0,0,0,0,13,CHELLAM S
CVEN-607,8,0,0,0,0,8,4,0,0,0,0,0,8,YING Q
CVEN-612,2,2,1,0,0,5,3.2,0,0,0,0,0,5,ZOLLINGER D
CVEN-618,11,11,0,0,0,22,3.5,0,0,0,0,0,22,ZHANG Y
CVEN-632,11,8,1,0,0,20,3.5,0,0,0,0,0,20,BURRIS M
CVEN-639,29,0,0,0,0,29,4,0,0,0,0,0,29,WALEWSKI J
CVEN-641,15,3,0,0,0,18,3.833,0,0,0,0,0,18,MOSTAFAVI A
CVEN-644,16,5,0,0,0,21,3.761,0,0,0,0,0,21,DAMNJANOVIC I
CVEN-652,6,2,0,0,0,8,3.75,0,0,0,0,0,8,AUBENY C
CVEN-658,8,5,0,0,0,13,3.615,0,0,0,1,0,14,OLIVERA F
CVEN-659,17,20,7,0,0,44,3.227,0,0,0,0,0,44,KEATING P
CVEN-664,19,6,0,0,0,25,3.76,0,0,0,0,0,25,BRUMBELOW J
CVEN-666,1,4,0,0,0,5,3.2,0,0,0,0,0,5,BRIAUD J
CVEN-667,10,2,0,0,0,12,3.833,0,0,0,0,0,12,PUPPALA A
CVEN-669,20,2,0,0,0,22,3.909,0,0,0,0,0,22,BARROSO L
CVEN-685,5,0,0,0,0,5,4,0,0,0,0,0,5,MOSTAFAVI A
CVEN-687,14,7,0,0,0,21,3.666,0,0,0,1,0,22,AUBENY C
CVEN-689,4,5,0,0,0,9,3.444,0,0,0,0,0,9,MCKAY G
CVEN-689,13,3,0,0,0,16,3.812,0,0,0,0,0,16,PAAL S
